Review,lowercased,emojis_removed
"Im happy with uniten actually, even the people are W","im happy with uniten actually, even the people are w","im happy with uniten actually, even the people are w"
"Iâ€™m having a pretty good time here, happy to meet all of the W people.","iâ€™m having a pretty good time here, happy to meet all of the w people.","iâ€m having a pretty good time here, happy to meet all of the w people."
a very neutral place in terms of everything,a very neutral place in terms of everything,a very neutral place in terms of everything
"I would say Uniten it's  a good university  but there is some issue need to be improved such as transportation,wifi networks and other facilities  as well.","i would say uniten it's  a good university  but there is some issue need to be improved such as transportation,wifi networks and other facilities  as well.","i would say uniten it's  a good university  but there is some issue need to be improved such as transportation,wifi networks and other facilities  as well."
" UNITEN is well-regarded, particularly for its strong engineering, computer science, and business programs. It has a solid reputation in Malaysia, especially in energy-related fields. The negative part is the facilities such as the swimming pool are close since my first year till 3 year now and there are limited parking so it's make hard to find."," uniten is well-regarded, particularly for its strong engineering, computer science, and business programs. it has a solid reputation in malaysia, especially in energy-related fields. the negative part is the facilities such as the swimming pool are close since my first year till 3 year now and there are limited parking so it's make hard to find."," uniten is well-regarded, particularly for its strong engineering, computer science, and business programs. it has a solid reputation in malaysia, especially in energy-related fields. the negative part is the facilities such as the swimming pool are close since my first year till 3 year now and there are limited parking so it's make hard to find."
Neutral - Because currently UNITEN has developed various new facilities for UNITEN students such as 24 hours emart... Personally for the negative side I would say that UNITEN needs to fix the broken toilet in the library and BM/BN buildings,neutral - because currently uniten has developed various new facilities for uniten students such as 24 hours emart... personally for the negative side i would say that uniten needs to fix the broken toilet in the library and bm/bn buildings,neutral - because currently uniten has developed various new facilities for uniten students such as 24 hours emart... personally for the negative side i would say that uniten needs to fix the broken toilet in the library and bm/bn buildings
regret,regret,regret
"In my opinion, UNITEN is not really a student-oriented university even though it is a private university. The facility is not in well-maintained condition and the flexibility of using the facilities is low. The number of students also low compared to other universities.","in my opinion, uniten is not really a student-oriented university even though it is a private university. the facility is not in well-maintained condition and the flexibility of using the facilities is low. the number of students also low compared to other universities.","in my opinion, uniten is not really a student-oriented university even though it is a private university. the facility is not in well-maintained condition and the flexibility of using the facilities is low. the number of students also low compared to other universities."
"UNITEN today is the shadow of its former self. What attracted me to UNITEN in the first place is not there anymore, e.g; our very own faculty building. The student dedicated website is terrible. I can name thousands of thousands website that is infinitely better. The hostel room application is ridiculous. The only pros that I could ever think of is the location of the campus that is situated near to major cities.","uniten today is the shadow of its former self. what attracted me to uniten in the first place is not there anymore, e.g; our very own faculty building. the student dedicated website is terrible. i can name thousands of thousands website that is infinitely better. the hostel room application is ridiculous. the only pros that i could ever think of is the location of the campus that is situated near to major cities.","uniten today is the shadow of its former self. what attracted me to uniten in the first place is not there anymore, e.g; our very own faculty building. the student dedicated website is terrible. i can name thousands of thousands website that is infinitely better. the hostel room application is ridiculous. the only pros that i could ever think of is the location of the campus that is situated near to major cities."
The great place and people that I will remember forever ,the great place and people that i will remember forever ,the great place and people that i will remember forever 
UNITEN is an interesting university because it's Tenaga university or the national energy university,uniten is an interesting university because it's tenaga university or the national energy university,uniten is an interesting university because it's tenaga university or the national energy university
Good enviroment and facilities,good enviroment and facilities,good enviroment and facilities
"For me, Uniten just a neutral for me because there is some positive and negative aspect for it. For example, positive side of it, is about supportive and easy going lecturer. Meanwhile negative side is about wifi connection is slow in certain areas.","for me, uniten just a neutral for me because there is some positive and negative aspect for it. for example, positive side of it, is about supportive and easy going lecturer. meanwhile negative side is about wifi connection is slow in certain areas.","for me, uniten just a neutral for me because there is some positive and negative aspect for it. for example, positive side of it, is about supportive and easy going lecturer. meanwhile negative side is about wifi connection is slow in certain areas."
Honestly uniten I feel like uniten is not the best neither the worst. I just feel like there are many more things to improve throughout the campus,honestly uniten i feel like uniten is not the best neither the worst. i just feel like there are many more things to improve throughout the campus,honestly uniten i feel like uniten is not the best neither the worst. i just feel like there are many more things to improve throughout the campus
"UNITEN is a solid choice for students interested in engineering, IT, or energy-related fields, offering strong industry connections and modern facilities. However, its specialized focus and location may not suit everyone. If youâ€™re looking for a university with a strong technical emphasis and ties to the energy sector, UNITEN could be a great fit. If you prefer a more diverse academic environment or a bustling social scene, you might want to explore other options.","uniten is a solid choice for students interested in engineering, it, or energy-related fields, offering strong industry connections and modern facilities. however, its specialized focus and location may not suit everyone. if youâ€™re looking for a university with a strong technical emphasis and ties to the energy sector, uniten could be a great fit. if you prefer a more diverse academic environment or a bustling social scene, you might want to explore other options.","uniten is a solid choice for students interested in engineering, it, or energy-related fields, offering strong industry connections and modern facilities. however, its specialized focus and location may not suit everyone. if youâ€re looking for a university with a strong technical emphasis and ties to the energy sector, uniten could be a great fit. if you prefer a more diverse academic environment or a bustling social scene, you might want to explore other options."
Bad in managemn,bad in managemn,bad in managemn
I have faced a lot of problems while being in UNITEN such as internet connectivity and facilities is not in a good condition (air conditioning sometimes not working) .,i have faced a lot of problems while being in uniten such as internet connectivity and facilities is not in a good condition (air conditioning sometimes not working) .,i have faced a lot of problems while being in uniten such as internet connectivity and facilities is not in a good condition (air conditioning sometimes not working) .
"Uniten has great facilities, always give freedom for students to choose but some of the facilities upgrade is progressing very slow. The miscellaneous fee is still undefined. I think student should know what are they paying for.","uniten has great facilities, always give freedom for students to choose but some of the facilities upgrade is progressing very slow. the miscellaneous fee is still undefined. i think student should know what are they paying for.","uniten has great facilities, always give freedom for students to choose but some of the facilities upgrade is progressing very slow. the miscellaneous fee is still undefined. i think student should know what are they paying for."
"Uniten is unnecessarily expensive for the service it's offering. It is practically 10 times the price of a normal public university with barely any additional service. Most service center is broken, some road light doesn't even lit up and certain buildings are either close or straight up close off making the layout of the campus make less and less sense throughout the year. The service quality also isn't much better than the local ones therefore making the price tags makes less sense. The management side also isn't a huge downside. Schedule are a mess, events handled in exchange of student comfort and the report system keep making us report the same thing over and over again instead of putting on a timer or weight to solve the solution. Overall, 10/10, will never do this again.","uniten is unnecessarily expensive for the service it's offering. it is practically 10 times the price of a normal public university with barely any additional service. most service center is broken, some road light doesn't even lit up and certain buildings are either close or straight up close off making the layout of the campus make less and less sense throughout the year. the service quality also isn't much better than the local ones therefore making the price tags makes less sense. the management side also isn't a huge downside. schedule are a mess, events handled in exchange of student comfort and the report system keep making us report the same thing over and over again instead of putting on a timer or weight to solve the solution. overall, 10/10, will never do this again.","uniten is unnecessarily expensive for the service it's offering. it is practically 10 times the price of a normal public university with barely any additional service. most service center is broken, some road light doesn't even lit up and certain buildings are either close or straight up close off making the layout of the campus make less and less sense throughout the year. the service quality also isn't much better than the local ones therefore making the price tags makes less sense. the management side also isn't a huge downside. schedule are a mess, events handled in exchange of student comfort and the report system keep making us report the same thing over and over again instead of putting on a timer or weight to solve the solution. overall, 10/10, will never do this again."
"FIrst of all, UNITEN Strong point is the lecturer there are so many great lecturers here that have such precious knowledge they are willing to share. The course selection is abundance and align with modern world. Then, their proximity to bunch of food is very convenient. That what I could deem positive part about it. For neutral part of it, is their facilities, there are some good like the classes especially the new renovated class at BM, then we found poor class such as BV Theatre, then we have Library which is such a good benchmark for other theatre. The road is serviceable. Then for bad part is their management, slow, frustrating and could be very annoying. The event are subpar at best, the SRC is barely noticeable. In general, bunch of Uniten features, they are towards the right direction but lacking at execution. ","first of all, uniten strong point is the lecturer there are so many great lecturers here that have such precious knowledge they are willing to share. the course selection is abundance and align with modern world. then, their proximity to bunch of food is very convenient. that what i could deem positive part about it. for neutral part of it, is their facilities, there are some good like the classes especially the new renovated class at bm, then we found poor class such as bv theatre, then we have library which is such a good benchmark for other theatre. the road is serviceable. then for bad part is their management, slow, frustrating and could be very annoying. the event are subpar at best, the src is barely noticeable. in general, bunch of uniten features, they are towards the right direction but lacking at execution. ","first of all, uniten strong point is the lecturer there are so many great lecturers here that have such precious knowledge they are willing to share. the course selection is abundance and align with modern world. then, their proximity to bunch of food is very convenient. that what i could deem positive part about it. for neutral part of it, is their facilities, there are some good like the classes especially the new renovated class at bm, then we found poor class such as bv theatre, then we have library which is such a good benchmark for other theatre. the road is serviceable. then for bad part is their management, slow, frustrating and could be very annoying. the event are subpar at best, the src is barely noticeable. in general, bunch of uniten features, they are towards the right direction but lacking at execution. "
"in my opinion UNITEN offers great opportunities in terms of exploring ourselves in preparing our future. but, there are many ways UNITEN makes the student life a ""hassle"". First for the longest times, the walkway for students and the bike road are damaged and filled with holes which will cause accidents and other issues. another is the issue with the admins in UNITEN UCC. although there are many whom help with the issue. Many are created with neglect of the Ucc staff. ","in my opinion uniten offers great opportunities in terms of exploring ourselves in preparing our future. but, there are many ways uniten makes the student life a ""hassle"". first for the longest times, the walkway for students and the bike road are damaged and filled with holes which will cause accidents and other issues. another is the issue with the admins in uniten ucc. although there are many whom help with the issue. many are created with neglect of the ucc staff. ","in my opinion uniten offers great opportunities in terms of exploring ourselves in preparing our future. but, there are many ways uniten makes the student life a ""hassle"". first for the longest times, the walkway for students and the bike road are damaged and filled with holes which will cause accidents and other issues. another is the issue with the admins in uniten ucc. although there are many whom help with the issue. many are created with neglect of the ucc staff. "
